,Database Accession,Database,Gene Symbol,Disease,Variant Type,Pathogenicity,Review Status,Star Level,Submitter,HGVS Normalization Failure Reason,Duplicated
2761,RCV000134037,ClinVar,DOCK8,SCID,copy number gain,Pathogenic,no assertion criteria provided,0,ISCA site 4,Compound Variant,0
2762,RCV000134126,ClinVar,DOCK8,SCID,copy number loss,Pathogenic,no assertion criteria provided,0,ISCA site 4,Compound Variant,0
2763,RCV000135434,ClinVar,DOCK8,SCID,copy number loss,Pathogenic,no assertion criteria provided,0,ISCA site 17,Compound Variant,0
2764,RCV000135563,ClinVar,DOCK8,SCID,copy number loss,Pathogenic,no assertion criteria provided,0,ISCA site 1,Compound Variant,0
2765,RCV000135660,ClinVar,DOCK8,SCID,copy number loss,Pathogenic,no assertion criteria provided,0,ISCA site 1,Compound Variant,0
2766,RCV000135694,ClinVar,DOCK8,SCID,copy number loss,Pathogenic,no assertion criteria provided,0,ISCA site 1,Compound Variant,0
2767,RCV000135935,ClinVar,DOCK8,SCID,copy number loss,Pathogenic,no assertion criteria provided,0,ISCA site 1,Compound Variant,0
2768,RCV000135968,ClinVar,DOCK8,SCID,copy number loss,Pathogenic,no assertion criteria provided,0,ISCA site 4,Compound Variant,0
2769,RCV000136859,ClinVar,DOCK8,SCID,copy number loss,Pathogenic,no assertion criteria provided,0,ISCA site 8,Compound Variant,0
2770,RCV000136966,ClinVar,DOCK8,SCID,copy number loss,Pathogenic,no assertion criteria provided,0,ISCA site 2,Compound Variant,0
2771,RCV000137382,ClinVar,DOCK8,SCID,copy number gain,Pathogenic,no assertion criteria provided,0,ISCA site 1,Compound Variant,0
2772,RCV000137669,ClinVar,DOCK8,SCID,copy number loss,Pathogenic,no assertion criteria provided,0,ISCA site 1,Compound Variant,0
2773,RCV000138119,ClinVar,DOCK8,SCID,copy number loss,Pathogenic,no assertion criteria provided,0,ISCA site 1,Compound Variant,0
2774,RCV000138499,ClinVar,DOCK8,SCID,copy number gain,Pathogenic,no assertion criteria provided,0,ISCA site 4,Compound Variant,0
2775,RCV000139015,ClinVar,DOCK8,SCID,copy number gain,Pathogenic,no assertion criteria provided,0,ISCA site 1,Compound Variant,0
2776,RCV000139566,ClinVar,DOCK8,SCID,copy number loss,Pathogenic,no assertion criteria provided,0,ISCA site 4,Compound Variant,0
2777,RCV000139621,ClinVar,DOCK8,SCID,copy number gain,Pathogenic,no assertion criteria provided,0,ISCA site 1,Compound Variant,0
2778,RCV000141408,ClinVar,DOCK8,SCID,copy number loss,Pathogenic,no assertion criteria provided,0,ISCA site 6,Compound Variant,0
2779,RCV000141442,ClinVar,DOCK8,SCID,copy number loss,Pathogenic,no assertion criteria provided,0,ISCA site 1,Compound Variant,0
2780,RCV000141662,ClinVar,DOCK8,SCID,copy number gain,Pathogenic,no assertion criteria provided,0,ISCA site 1,Compound Variant,0
2781,RCV000142964,ClinVar,DOCK8,SCID,copy number loss,Pathogenic,no assertion criteria provided,0,ISCA site 4,Compound Variant,0
97,557467:9263,BIPmed_SNPhg19,DOCK8,SCID,single nucleotide variant,-,-,-,Admin,Incorrect reference base,0
98,710723:9263,BIPmed_SNPhg19,DOCK8,SCID,single nucleotide variant,-,-,-,Admin,Incorrect reference base,0
99,519014:9263,BIPmed_SNPhg19,DOCK8,SCID,single nucleotide variant,-,-,-,Admin,Incorrect reference base,0
100,519015:9263,BIPmed_SNPhg19,DOCK8,SCID,single nucleotide variant,-,-,-,Admin,Incorrect reference base,0
101,519020:9263,BIPmed_SNPhg19,DOCK8,SCID,single nucleotide variant,-,-,-,Admin,Incorrect reference base,0
2569,RCV000762548,ClinVar,DOCK8,SCID,Microsatellite,Uncertain significance,"criteria provided, single submitter",1,CeGaT Praxis fuer Humangenetik Tuebingen,Microsatellite,0
2570,RCV001216865,ClinVar,DOCK8,SCID,Microsatellite,Uncertain significance,"criteria provided, single submitter",1,Invitae,Microsatellite,0
2571,RCV001229639,ClinVar,DOCK8,SCID,Microsatellite,Uncertain significance,"criteria provided, single submitter",1,Invitae,Microsatellite,0
2822,RCV000479197,ClinVar,DOCK8,SCID,Microsatellite,Likely benign,"criteria provided, single submitter",1,GeneDx,Microsatellite,0
2823,RCV000615479,ClinVar,DOCK8,SCID,Microsatellite,Likely benign,"criteria provided, single submitter",1,GeneDx,Microsatellite,0
2448,RCV000683074,ClinVar,DOCK8,SCID,copy number gain,Uncertain significance,no assertion criteria provided,0,Quest Diagnostics Nichols Institute San Juan Capistrano,No variant information provided,0
2449,RCV000683081,ClinVar,DOCK8,SCID,copy number gain,Uncertain significance,no assertion criteria provided,0,Quest Diagnostics Nichols Institute San Juan Capistrano,No variant information provided,0
2450,RCV000683083,ClinVar,DOCK8,SCID,copy number gain,Uncertain significance,no assertion criteria provided,0,Quest Diagnostics Nichols Institute San Juan Capistrano,No variant information provided,0
2451,RCV000683086,ClinVar,DOCK8,SCID,copy number gain,Uncertain significance,no assertion criteria provided,0,Quest Diagnostics Nichols Institute San Juan Capistrano,No variant information provided,0
2452,RCV000683090,ClinVar,DOCK8,SCID,copy number gain,Uncertain significance,no assertion criteria provided,0,Quest Diagnostics Nichols Institute San Juan Capistrano,No variant information provided,0
2453,RCV000856655,ClinVar,DOCK8,SCID,copy number gain,Uncertain significance,"criteria provided, single submitter",1,"Centro Nacional de Genética Medica ""Dr. Eduardo E. Castilla"",Administración Nacional de Laboratorios e Institutos de Salud",No variant information provided,0
2454,RCV000225168,ClinVar,DOCK8,SCID,copy number gain,Benign,"criteria provided, single submitter",1,"Department of Biotechnology,Institute of Molecular and Cell Biology, University of Tartu",No variant information provided,0
2455,RCV000225214,ClinVar,DOCK8,SCID,copy number gain,Benign,"criteria provided, single submitter",1,"Department of Biotechnology,Institute of Molecular and Cell Biology, University of Tartu",No variant information provided,0
2456,RCV001006157,ClinVar,DOCK8,SCID,copy number gain,Uncertain significance,no assertion criteria provided,0,Quest Diagnostics Nichols Institute San Juan Capistrano,No variant information provided,0
2457,RCV001006169,ClinVar,DOCK8,SCID,copy number gain,Uncertain significance,no assertion criteria provided,0,Quest Diagnostics Nichols Institute San Juan Capistrano,No variant information provided,0
2458,RCV000845953,ClinVar,DOCK8,SCID,copy number gain,Uncertain significance,no assertion criteria provided,0,"Lineagen, Inc",No variant information provided,0
2459,RCV000845966,ClinVar,DOCK8,SCID,copy number gain,Uncertain significance,no assertion criteria provided,0,"Lineagen, Inc",No variant information provided,0
2460,RCV000846059,ClinVar,DOCK8,SCID,copy number gain,Uncertain significance,no assertion criteria provided,0,"Lineagen, Inc",No variant information provided,0
2461,RCV000846289,ClinVar,DOCK8,SCID,copy number gain,Uncertain significance,no assertion criteria provided,0,"Lineagen, Inc",No variant information provided,0
2462,RCV000846400,ClinVar,DOCK8,SCID,copy number gain,Uncertain significance,no assertion criteria provided,0,"Lineagen, Inc",No variant information provided,0
2463,RCV000846477,ClinVar,DOCK8,SCID,copy number gain,Uncertain significance,no assertion criteria provided,0,"Lineagen, Inc",No variant information provided,0
2464,RCV000846480,ClinVar,DOCK8,SCID,copy number gain,Uncertain significance,no assertion criteria provided,0,"Lineagen, Inc",No variant information provided,0
2465,RCV000846570,ClinVar,DOCK8,SCID,copy number gain,Uncertain significance,no assertion criteria provided,0,"Lineagen, Inc",No variant information provided,0
2466,RCV000846936,ClinVar,DOCK8,SCID,copy number gain,Uncertain significance,no assertion criteria provided,0,"Lineagen, Inc",No variant information provided,0
2467,RCV000846962,ClinVar,DOCK8,SCID,copy number gain,Uncertain significance,no assertion criteria provided,0,"Lineagen, Inc",No variant information provided,0
2468,RCV000846964,ClinVar,DOCK8,SCID,copy number gain,Uncertain significance,no assertion criteria provided,0,"Lineagen, Inc",No variant information provided,0
2469,RCV000847008,ClinVar,DOCK8,SCID,copy number gain,Uncertain significance,no assertion criteria provided,0,"Lineagen, Inc",No variant information provided,0
2470,RCV000847081,ClinVar,DOCK8,SCID,copy number gain,Uncertain significance,no assertion criteria provided,0,"Lineagen, Inc",No variant information provided,0
2471,RCV000847553,ClinVar,DOCK8,SCID,copy number gain,Uncertain significance,no assertion criteria provided,0,"Lineagen, Inc",No variant information provided,0
2472,RCV000847630,ClinVar,DOCK8,SCID,copy number gain,Uncertain significance,no assertion criteria provided,0,"Lineagen, Inc",No variant information provided,0
2473,RCV000847750,ClinVar,DOCK8,SCID,copy number gain,Uncertain significance,no assertion criteria provided,0,"Lineagen, Inc",No variant information provided,0
2474,RCV000847766,ClinVar,DOCK8,SCID,copy number gain,Uncertain significance,no assertion criteria provided,0,"Lineagen, Inc",No variant information provided,0
2475,RCV000848479,ClinVar,DOCK8,SCID,copy number gain,Uncertain significance,no assertion criteria provided,0,"Lineagen, Inc",No variant information provided,0
2476,RCV000848505,ClinVar,DOCK8,SCID,copy number gain,Uncertain significance,no assertion criteria provided,0,"Lineagen, Inc",No variant information provided,0
2477,RCV000848593,ClinVar,DOCK8,SCID,copy number gain,Uncertain significance,no assertion criteria provided,0,"Lineagen, Inc",No variant information provided,0
2478,RCV000848636,ClinVar,DOCK8,SCID,copy number gain,Uncertain significance,no assertion criteria provided,0,"Lineagen, Inc",No variant information provided,0
2479,RCV000848804,ClinVar,DOCK8,SCID,copy number gain,Uncertain significance,no assertion criteria provided,0,"Lineagen, Inc",No variant information provided,0
2480,RCV000849003,ClinVar,DOCK8,SCID,copy number gain,Uncertain significance,no assertion criteria provided,0,"Lineagen, Inc",No variant information provided,0
2481,RCV000849927,ClinVar,DOCK8,SCID,copy number gain,Uncertain significance,no assertion criteria provided,0,"Lineagen, Inc",No variant information provided,0
2482,RCV000849984,ClinVar,DOCK8,SCID,copy number gain,Uncertain significance,no assertion criteria provided,0,"Lineagen, Inc",No variant information provided,0
2516,RCV000748052,ClinVar,DOCK8,SCID,copy number gain,Benign,no assertion criteria provided,0,"Cincinnati Children's Hospital Medical Center Laboratory of Genetics and Genomics, Cincinnati Children's Hospital Medical Center",No variant information provided,0
2517,RCV000748057,ClinVar,DOCK8,SCID,copy number gain,Benign,no assertion criteria provided,0,"Cincinnati Children's Hospital Medical Center Laboratory of Genetics and Genomics, Cincinnati Children's Hospital Medical Center",No variant information provided,0
2518,RCV000748058,ClinVar,DOCK8,SCID,copy number gain,Benign,no assertion criteria provided,0,"Cincinnati Children's Hospital Medical Center Laboratory of Genetics and Genomics, Cincinnati Children's Hospital Medical Center",No variant information provided,0
2519,RCV000748064,ClinVar,DOCK8,SCID,copy number gain,Benign,no assertion criteria provided,0,"Cincinnati Children's Hospital Medical Center Laboratory of Genetics and Genomics, Cincinnati Children's Hospital Medical Center",No variant information provided,0
2520,RCV000748068,ClinVar,DOCK8,SCID,copy number gain,Benign,no assertion criteria provided,0,"Cincinnati Children's Hospital Medical Center Laboratory of Genetics and Genomics, Cincinnati Children's Hospital Medical Center",No variant information provided,0
2521,RCV000748071,ClinVar,DOCK8,SCID,copy number gain,Benign,no assertion criteria provided,0,"Cincinnati Children's Hospital Medical Center Laboratory of Genetics and Genomics, Cincinnati Children's Hospital Medical Center",No variant information provided,0
2522,RCV000748072,ClinVar,DOCK8,SCID,copy number gain,Benign,no assertion criteria provided,0,"Cincinnati Children's Hospital Medical Center Laboratory of Genetics and Genomics, Cincinnati Children's Hospital Medical Center",No variant information provided,0
2523,RCV000748073,ClinVar,DOCK8,SCID,copy number gain,Benign,no assertion criteria provided,0,"Cincinnati Children's Hospital Medical Center Laboratory of Genetics and Genomics, Cincinnati Children's Hospital Medical Center",No variant information provided,0
2524,RCV000748075,ClinVar,DOCK8,SCID,copy number gain,Benign,no assertion criteria provided,0,"Cincinnati Children's Hospital Medical Center Laboratory of Genetics and Genomics, Cincinnati Children's Hospital Medical Center",No variant information provided,0
2525,RCV000748078,ClinVar,DOCK8,SCID,copy number gain,Benign,no assertion criteria provided,0,"Cincinnati Children's Hospital Medical Center Laboratory of Genetics and Genomics, Cincinnati Children's Hospital Medical Center",No variant information provided,0
2526,RCV000748079,ClinVar,DOCK8,SCID,copy number gain,Benign,no assertion criteria provided,0,"Cincinnati Children's Hospital Medical Center Laboratory of Genetics and Genomics, Cincinnati Children's Hospital Medical Center",No variant information provided,0
2527,RCV000748081,ClinVar,DOCK8,SCID,copy number gain,Benign,no assertion criteria provided,0,"Cincinnati Children's Hospital Medical Center Laboratory of Genetics and Genomics, Cincinnati Children's Hospital Medical Center",No variant information provided,0
2528,RCV000659205,ClinVar,DOCK8,SCID,copy number loss,Likely pathogenic,"criteria provided, single submitter",1,CeGaT Praxis fuer Humangenetik Tuebingen,No variant information provided,0
2529,RCV000683048,ClinVar,DOCK8,SCID,copy number loss,Uncertain significance,no assertion criteria provided,0,Quest Diagnostics Nichols Institute San Juan Capistrano,No variant information provided,0
2530,RCV000683049,ClinVar,DOCK8,SCID,copy number loss,Uncertain significance,no assertion criteria provided,0,Quest Diagnostics Nichols Institute San Juan Capistrano,No variant information provided,0
2531,RCV000683050,ClinVar,DOCK8,SCID,copy number loss,Uncertain significance,no assertion criteria provided,0,Quest Diagnostics Nichols Institute San Juan Capistrano,No variant information provided,0
2532,RCV000683088,ClinVar,DOCK8,SCID,copy number loss,Likely pathogenic,no assertion criteria provided,0,Quest Diagnostics Nichols Institute San Juan Capistrano,No variant information provided,0
2533,RCV000748065,ClinVar,DOCK8,SCID,copy number loss,Benign,no assertion criteria provided,0,"Cincinnati Children's Hospital Medical Center Laboratory of Genetics and Genomics, Cincinnati Children's Hospital Medical Center",No variant information provided,0
2534,RCV000748066,ClinVar,DOCK8,SCID,copy number loss,Benign,no assertion criteria provided,0,"Cincinnati Children's Hospital Medical Center Laboratory of Genetics and Genomics, Cincinnati Children's Hospital Medical Center",No variant information provided,0
2535,RCV000748067,ClinVar,DOCK8,SCID,copy number loss,Benign,no assertion criteria provided,0,"Cincinnati Children's Hospital Medical Center Laboratory of Genetics and Genomics, Cincinnati Children's Hospital Medical Center",No variant information provided,0
2536,RCV000748069,ClinVar,DOCK8,SCID,copy number loss,Benign,no assertion criteria provided,0,"Cincinnati Children's Hospital Medical Center Laboratory of Genetics and Genomics, Cincinnati Children's Hospital Medical Center",No variant information provided,0
2537,RCV000748070,ClinVar,DOCK8,SCID,copy number loss,Benign,no assertion criteria provided,0,"Cincinnati Children's Hospital Medical Center Laboratory of Genetics and Genomics, Cincinnati Children's Hospital Medical Center",No variant information provided,0
2538,RCV000748074,ClinVar,DOCK8,SCID,copy number loss,Benign,no assertion criteria provided,0,"Cincinnati Children's Hospital Medical Center Laboratory of Genetics and Genomics, Cincinnati Children's Hospital Medical Center",No variant information provided,0
2539,RCV000748076,ClinVar,DOCK8,SCID,copy number loss,Benign,no assertion criteria provided,0,"Cincinnati Children's Hospital Medical Center Laboratory of Genetics and Genomics, Cincinnati Children's Hospital Medical Center",No variant information provided,0
2540,RCV000748077,ClinVar,DOCK8,SCID,copy number loss,Benign,no assertion criteria provided,0,"Cincinnati Children's Hospital Medical Center Laboratory of Genetics and Genomics, Cincinnati Children's Hospital Medical Center",No variant information provided,0
2541,RCV000748082,ClinVar,DOCK8,SCID,copy number loss,Benign,no assertion criteria provided,0,"Cincinnati Children's Hospital Medical Center Laboratory of Genetics and Genomics, Cincinnati Children's Hospital Medical Center",No variant information provided,0
2542,RCV000845817,ClinVar,DOCK8,SCID,copy number loss,Uncertain significance,no assertion criteria provided,0,"Lineagen, Inc",No variant information provided,0
2543,RCV000846446,ClinVar,DOCK8,SCID,copy number loss,Uncertain significance,no assertion criteria provided,0,"Lineagen, Inc",No variant information provided,0
2544,RCV000846558,ClinVar,DOCK8,SCID,copy number loss,Uncertain significance,no assertion criteria provided,0,"Lineagen, Inc",No variant information provided,0
2545,RCV000847034,ClinVar,DOCK8,SCID,copy number loss,Uncertain significance,no assertion criteria provided,0,"Lineagen, Inc",No variant information provided,0
2546,RCV000847055,ClinVar,DOCK8,SCID,copy number loss,Uncertain significance,no assertion criteria provided,0,"Lineagen, Inc",No variant information provided,0
2547,RCV000847745,ClinVar,DOCK8,SCID,copy number loss,Uncertain significance,no assertion criteria provided,0,"Lineagen, Inc",No variant information provided,0
2548,RCV000848189,ClinVar,DOCK8,SCID,copy number loss,Uncertain significance,no assertion criteria provided,0,"Lineagen, Inc",No variant information provided,0
2549,RCV000849181,ClinVar,DOCK8,SCID,copy number loss,Uncertain significance,no assertion criteria provided,0,"Lineagen, Inc",No variant information provided,0
2550,RCV000849318,ClinVar,DOCK8,SCID,copy number loss,Uncertain significance,no assertion criteria provided,0,"Lineagen, Inc",No variant information provided,0
2551,RCV000849400,ClinVar,DOCK8,SCID,copy number loss,Uncertain significance,no assertion criteria provided,0,"Lineagen, Inc",No variant information provided,0
2552,RCV000849725,ClinVar,DOCK8,SCID,copy number loss,Uncertain significance,no assertion criteria provided,0,"Lineagen, Inc",No variant information provided,0
2553,RCV001006159,ClinVar,DOCK8,SCID,copy number loss,Pathogenic,no assertion criteria provided,0,Quest Diagnostics Nichols Institute San Juan Capistrano,No variant information provided,0
2554,RCV001006162,ClinVar,DOCK8,SCID,copy number loss,Uncertain significance,no assertion criteria provided,0,Quest Diagnostics Nichols Institute San Juan Capistrano,No variant information provided,0
2555,RCV001006168,ClinVar,DOCK8,SCID,copy number loss,Pathogenic,no assertion criteria provided,0,Quest Diagnostics Nichols Institute San Juan Capistrano,No variant information provided,0
2557,RCV000754357,ClinVar,DOCK8,SCID,Deletion,Likely pathogenic,"criteria provided, single submitter",1,"Department of Psychiatry,Nagoya University",No variant information provided,0
2562,RCV000999304,ClinVar,DOCK8,SCID,copy number gain,Uncertain significance,"criteria provided, single submitter",1,CeGaT Praxis fuer Humangenetik Tuebingen,No variant information provided,0
2664,RCV000239840,ClinVar,DOCK8,SCID,copy number gain,Uncertain significance,"criteria provided, single submitter",1,GeneDx,No variant information provided,0
2665,RCV000446068,ClinVar,DOCK8,SCID,copy number loss,Uncertain significance,no assertion criteria provided,0,"ARUP Laboratories, Cytogenetics and Genomic Microarray,ARUP Laboratories",No variant information provided,0
2666,RCV000446075,ClinVar,DOCK8,SCID,copy number gain,Uncertain significance,no assertion criteria provided,0,"ARUP Laboratories, Cytogenetics and Genomic Microarray,ARUP Laboratories",No variant information provided,0
2667,RCV000446461,ClinVar,DOCK8,SCID,copy number gain,Likely benign,no assertion criteria provided,0,ISCA site 6,No variant information provided,0
2668,RCV000446672,ClinVar,DOCK8,SCID,copy number loss,Uncertain significance,no assertion criteria provided,0,ISCA site 6,No variant information provided,0
2669,RCV000446923,ClinVar,DOCK8,SCID,copy number loss,Likely benign,no assertion criteria provided,0,ISCA site 6,No variant information provided,0
2670,RCV000447358,ClinVar,DOCK8,SCID,copy number loss,Pathogenic,no assertion criteria provided,0,"ARUP Laboratories, Cytogenetics and Genomic Microarray,ARUP Laboratories",No variant information provided,0
2671,RCV000447570,ClinVar,DOCK8,SCID,copy number gain,Pathogenic,no assertion criteria provided,0,"ARUP Laboratories, Cytogenetics and Genomic Microarray,ARUP Laboratories",No variant information provided,0
2672,RCV000447686,ClinVar,DOCK8,SCID,copy number loss,Likely pathogenic,no assertion criteria provided,0,ISCA site 6,No variant information provided,0
2673,RCV000448002,ClinVar,DOCK8,SCID,copy number gain,Uncertain significance,no assertion criteria provided,0,"ARUP Laboratories, Cytogenetics and Genomic Microarray,ARUP Laboratories",No variant information provided,0
2674,RCV000448085,ClinVar,DOCK8,SCID,copy number loss,Uncertain significance,no assertion criteria provided,0,"ARUP Laboratories, Cytogenetics and Genomic Microarray,ARUP Laboratories",No variant information provided,0
2675,RCV000448165,ClinVar,DOCK8,SCID,copy number loss,Likely benign,no assertion criteria provided,0,ISCA site 6,No variant information provided,0
2676,RCV000448364,ClinVar,DOCK8,SCID,copy number loss,Uncertain significance,no assertion criteria provided,0,ISCA site 6,No variant information provided,0
2677,RCV000448485,ClinVar,DOCK8,SCID,copy number loss,Uncertain significance,no assertion criteria provided,0,"ARUP Laboratories, Cytogenetics and Genomic Microarray,ARUP Laboratories",No variant information provided,0
2678,RCV000448491,ClinVar,DOCK8,SCID,copy number loss,Likely benign,no assertion criteria provided,0,ISCA site 6,No variant information provided,0
2679,RCV000448505,ClinVar,DOCK8,SCID,copy number gain,Benign,no assertion criteria provided,0,ISCA site 6,No variant information provided,0
2680,RCV000448791,ClinVar,DOCK8,SCID,copy number loss,Pathogenic,no assertion criteria provided,0,ISCA site 6,No variant information provided,0
2681,RCV000449094,ClinVar,DOCK8,SCID,copy number loss,Likely benign,no assertion criteria provided,0,ISCA site 6,No variant information provided,0
2682,RCV000449253,ClinVar,DOCK8,SCID,copy number loss,Uncertain significance,no assertion criteria provided,0,ISCA site 6,No variant information provided,0
2683,RCV000510368,ClinVar,DOCK8,SCID,copy number gain,Uncertain significance,no assertion criteria provided,0,ISCA site 1,No variant information provided,0
2684,RCV000510591,ClinVar,DOCK8,SCID,copy number gain,Uncertain significance,no assertion criteria provided,0,ISCA site 1,No variant information provided,0
2685,RCV000510694,ClinVar,DOCK8,SCID,copy number loss,Likely benign,no assertion criteria provided,0,ISCA site 1,No variant information provided,0
2686,RCV000510800,ClinVar,DOCK8,SCID,copy number gain,Uncertain significance,no assertion criteria provided,0,ISCA site 1,No variant information provided,0
2687,RCV000510903,ClinVar,DOCK8,SCID,copy number gain,Uncertain significance,no assertion criteria provided,0,ISCA site 1,No variant information provided,0
2688,RCV000510930,ClinVar,DOCK8,SCID,copy number loss,Uncertain significance,no assertion criteria provided,0,ISCA site 1,No variant information provided,0
2689,RCV000510953,ClinVar,DOCK8,SCID,copy number gain,Uncertain significance,no assertion criteria provided,0,ISCA site 1,No variant information provided,0
2690,RCV000511043,ClinVar,DOCK8,SCID,copy number gain,Uncertain significance,no assertion criteria provided,0,ISCA site 1,No variant information provided,0
2691,RCV000511112,ClinVar,DOCK8,SCID,copy number loss,Uncertain significance,no assertion criteria provided,0,ISCA site 1,No variant information provided,0
2692,RCV000511117,ClinVar,DOCK8,SCID,copy number gain,Uncertain significance,no assertion criteria provided,0,ISCA site 1,No variant information provided,0
2693,RCV000511136,ClinVar,DOCK8,SCID,copy number gain,Uncertain significance,no assertion criteria provided,0,ISCA site 1,No variant information provided,0
2694,RCV000511277,ClinVar,DOCK8,SCID,copy number gain,Uncertain significance,no assertion criteria provided,0,ISCA site 1,No variant information provided,0
2695,RCV000511652,ClinVar,DOCK8,SCID,copy number gain,Likely benign,no assertion criteria provided,0,ISCA site 1,No variant information provided,0
2696,RCV000511783,ClinVar,DOCK8,SCID,copy number gain,Likely benign,no assertion criteria provided,0,ISCA site 1,No variant information provided,0
2697,RCV000511819,ClinVar,DOCK8,SCID,copy number gain,Uncertain significance,no assertion criteria provided,0,ISCA site 1,No variant information provided,0
2698,RCV000511908,ClinVar,DOCK8,SCID,copy number gain,Uncertain significance,no assertion criteria provided,0,ISCA site 1,No variant information provided,0
2699,RCV000511931,ClinVar,DOCK8,SCID,copy number gain,Uncertain significance,no assertion criteria provided,0,ISCA site 1,No variant information provided,0
2700,RCV000511976,ClinVar,DOCK8,SCID,copy number gain,Likely benign,no assertion criteria provided,0,ISCA site 1,No variant information provided,0
2701,RCV000512021,ClinVar,DOCK8,SCID,copy number gain,Likely benign,no assertion criteria provided,0,ISCA site 1,No variant information provided,0
2702,RCV000512260,ClinVar,DOCK8,SCID,copy number gain,Uncertain significance,no assertion criteria provided,0,ISCA site 1,No variant information provided,0
2703,RCV000512311,ClinVar,DOCK8,SCID,copy number loss,Pathogenic,no assertion criteria provided,0,ISCA site 1,No variant information provided,0
2704,RCV000512572,ClinVar,DOCK8,SCID,copy number gain,Uncertain significance,no assertion criteria provided,0,ISCA site 1,No variant information provided,0
2705,RCV000683102,ClinVar,DOCK8,SCID,copy number gain,Uncertain significance,no assertion criteria provided,0,Quest Diagnostics Nichols Institute San Juan Capistrano,No variant information provided,0
2706,RCV000683105,ClinVar,DOCK8,SCID,copy number gain,Uncertain significance,no assertion criteria provided,0,Quest Diagnostics Nichols Institute San Juan Capistrano,No variant information provided,0
2707,RCV000683110,ClinVar,DOCK8,SCID,copy number gain,Uncertain significance,no assertion criteria provided,0,Quest Diagnostics Nichols Institute San Juan Capistrano,No variant information provided,0
2708,RCV000683112,ClinVar,DOCK8,SCID,copy number loss,Likely pathogenic,no assertion criteria provided,0,Quest Diagnostics Nichols Institute San Juan Capistrano,No variant information provided,0
2709,RCV000683113,ClinVar,DOCK8,SCID,copy number gain,Uncertain significance,no assertion criteria provided,0,Quest Diagnostics Nichols Institute San Juan Capistrano,No variant information provided,0
2710,RCV000683120,ClinVar,DOCK8,SCID,copy number gain,Uncertain significance,no assertion criteria provided,0,Quest Diagnostics Nichols Institute San Juan Capistrano,No variant information provided,0
2711,RCV000683159,ClinVar,DOCK8,SCID,copy number loss,Pathogenic,no assertion criteria provided,0,Quest Diagnostics Nichols Institute San Juan Capistrano,No variant information provided,0
2712,RCV000683162,ClinVar,DOCK8,SCID,copy number loss,Pathogenic,no assertion criteria provided,0,Quest Diagnostics Nichols Institute San Juan Capistrano,No variant information provided,0
2713,RCV000748059,ClinVar,DOCK8,SCID,copy number loss,Pathogenic,no assertion criteria provided,0,"Cincinnati Children's Hospital Medical Center Laboratory of Genetics and Genomics, Cincinnati Children's Hospital Medical Center",No variant information provided,0
2714,RCV000748080,ClinVar,DOCK8,SCID,copy number gain,Benign,no assertion criteria provided,0,"Cincinnati Children's Hospital Medical Center Laboratory of Genetics and Genomics, Cincinnati Children's Hospital Medical Center",No variant information provided,0
2715,RCV000845679,ClinVar,DOCK8,SCID,copy number gain,Uncertain significance,no assertion criteria provided,0,"Lineagen, Inc",No variant information provided,0
2716,RCV000845950,ClinVar,DOCK8,SCID,copy number gain,Uncertain significance,no assertion criteria provided,0,"Lineagen, Inc",No variant information provided,0
2717,RCV000845978,ClinVar,DOCK8,SCID,copy number gain,Uncertain significance,no assertion criteria provided,0,"Lineagen, Inc",No variant information provided,0
2718,RCV000846030,ClinVar,DOCK8,SCID,copy number gain,Uncertain significance,no assertion criteria provided,0,"Lineagen, Inc",No variant information provided,0
2719,RCV000846065,ClinVar,DOCK8,SCID,copy number gain,Uncertain significance,no assertion criteria provided,0,"Lineagen, Inc",No variant information provided,0
2720,RCV000846124,ClinVar,DOCK8,SCID,copy number gain,Uncertain significance,no assertion criteria provided,0,"Lineagen, Inc",No variant information provided,0
2721,RCV000846466,ClinVar,DOCK8,SCID,copy number gain,Uncertain significance,no assertion criteria provided,0,"Lineagen, Inc",No variant information provided,0
2722,RCV000846831,ClinVar,DOCK8,SCID,copy number gain,Uncertain significance,no assertion criteria provided,0,"Lineagen, Inc",No variant information provided,0
2723,RCV000847126,ClinVar,DOCK8,SCID,copy number gain,Uncertain significance,no assertion criteria provided,0,"Lineagen, Inc",No variant information provided,0
2724,RCV000847489,ClinVar,DOCK8,SCID,copy number gain,Uncertain significance,no assertion criteria provided,0,"Lineagen, Inc",No variant information provided,0
2725,RCV000847606,ClinVar,DOCK8,SCID,copy number gain,Uncertain significance,no assertion criteria provided,0,"Lineagen, Inc",No variant information provided,0
2726,RCV000847634,ClinVar,DOCK8,SCID,copy number gain,Uncertain significance,no assertion criteria provided,0,"Lineagen, Inc",No variant information provided,0
2727,RCV000848099,ClinVar,DOCK8,SCID,copy number loss,Uncertain significance,no assertion criteria provided,0,"Lineagen, Inc",No variant information provided,0
2728,RCV000848230,ClinVar,DOCK8,SCID,copy number gain,Uncertain significance,no assertion criteria provided,0,"Lineagen, Inc",No variant information provided,0
2729,RCV000848426,ClinVar,DOCK8,SCID,copy number gain,Uncertain significance,no assertion criteria provided,0,"Lineagen, Inc",No variant information provided,0
2730,RCV000848898,ClinVar,DOCK8,SCID,copy number gain,Uncertain significance,no assertion criteria provided,0,"Lineagen, Inc",No variant information provided,0
